Test Fly: hl_mc_fly_line, height at 1.5meter
Date:  2024-01-09
logging-rate: 10
-0.6595425009727478 -0.008324729278683662 -0.289315402507782
-0.6564315557479858 -0.013363332487642765 -0.2896920144557953
-0.6591033339500427 -0.015341412276029587 -0.2916499078273773
-0.6615861654281616 -0.01643526926636696 -0.2926868498325348
-0.6616888046264648 -0.015122181735932827 -0.29129278659820557
-0.6626842021942139 -0.016410086303949356 -0.2919149696826935
-0.6616727113723755 -0.013771950267255306 -0.29026156663894653
-0.6629865169525146 -0.01589343138039112 -0.2906353771686554
-0.6629807949066162 -0.014312487095594406 -0.28814610838890076
-0.6629559397697449 -0.01625305600464344 -0.2874203324317932
-0.6659782528877258 -0.018979545682668686 -0.28967151045799255
-0.6665409207344055 -0.01954260654747486 -0.29018160700798035
-0.6660325527191162 -0.018380817025899887 -0.2875474989414215
-0.6678931713104248 -0.019005799666047096 -0.28881123661994934
-0.6643151044845581 -0.013906712643802166 -0.2878304123878479
-0.6690595746040344 -0.017255067825317383 -0.2890089750289917
-0.6658110618591309 -0.012977948412299156 -0.28776994347572327
-0.6730386018753052 -0.011611571535468102 -0.28846824169158936
-0.6725953817367554 -0.011573754251003265 -0.28977298736572266
-0.6723427772521973 -0.018982794135808945 -0.2907645106315613
-0.6717172861099243 -0.018913721665740013 -0.2921196520328522
-0.676237940788269 -0.02125249244272709 -0.29346510767936707
-0.6728729605674744 -0.01683644764125347 -0.29190516471862793
-0.6775732040405273 -0.020030416548252106 -0.2934470474720001
-0.6773475408554077 -0.019654981791973114 -0.2951258420944214
-0.6800809502601624 -0.023098543286323547 -0.2957121431827545
-0.679307758808136 -0.022306526079773903 -0.2973712384700775
-0.6843585968017578 -0.026152927428483963 -0.2986672818660736
-0.6808716058731079 -0.020381299778819084 -0.2976818084716797
-0.6876892447471619 -0.017115646973252296 -0.29979416728019714
-0.6813016533851624 -0.019299063831567764 -0.29713645577430725
-0.685921847820282 -0.014913026243448257 -0.2945280373096466
-0.6873469948768616 -0.01652766950428486 -0.2950970530509949
-0.6876473426818848 -0.014977101236581802 -0.29380202293395996
-0.6883637309074402 -0.01654180698096752 -0.29499563574790955
-0.6880893707275391 -0.013887166045606136 -0.2939656674861908
-0.6888934969902039 -0.015737242996692657 -0.295526385307312
-0.689190685749054 -0.01436411589384079 -0.2933448553085327
-0.6896289587020874 -0.01681707240641117 -0.29434648156166077
-0.6875037550926208 -0.012466059066355228 -0.2936011552810669
