Test Fly: hl_mc_fly_line, height at 1.5meter
Date:  2024-01-09
logging-rate: 10
-1.1394014358520508 -0.2567042410373688 -0.29192692041397095
-1.1390962600708008 -0.24730725586414337 -0.28896233439445496
-1.140567660331726 -0.25221097469329834 -0.2908129096031189
-1.1382713317871094 -0.2430308759212494 -0.2891773283481598
-1.1400240659713745 -0.2473137229681015 -0.29031673073768616
-1.1437873840332031 -0.2439487725496292 -0.2918679714202881
-1.1451170444488525 -0.24888108670711517 -0.2937750518321991
-1.14365553855896 -0.2413344830274582 -0.29106077551841736
-1.1492259502410889 -0.24091807007789612 -0.2904137372970581
-1.152549386024475 -0.23869945108890533 -0.29012563824653625
-1.1543171405792236 -0.2414601743221283 -0.2931998372077942
-1.1515902280807495 -0.23439893126487732 -0.2895785868167877
-1.15488600730896 -0.237259641289711 -0.2906056344509125
-1.154984712600708 -0.23044723272323608 -0.2878132462501526
-1.1596283912658691 -0.2307269126176834 -0.2869187593460083
-1.1577948331832886 -0.225103959441185 -0.2835117280483246
-1.1551085710525513 -0.22658325731754303 -0.28285855054855347
-1.158196210861206 -0.22126689553260803 -0.2844333350658417
-1.1554279327392578 -0.22237907350063324 -0.28374674916267395
-1.1596242189407349 -0.21785065531730652 -0.28577515482902527
-1.1609864234924316 -0.22253461182117462 -0.28752246499061584
-1.1638785600662231 -0.2190771847963333 -0.28812524676322937
-1.1611628532409668 -0.2195698767900467 -0.2865197956562042
-1.165408730506897 -0.2158653885126114 -0.2858920991420746
-1.1607086658477783 -0.21093587577342987 -0.2806488573551178
-1.1609783172607422 -0.21081218123435974 -0.28350621461868286
-1.1648870706558228 -0.21067622303962708 -0.28352445363998413
-1.1674745082855225 -0.21046064794063568 -0.2867390215396881
-1.1633142232894897 -0.20615482330322266 -0.28178873658180237
-1.1665171384811401 -0.2031165063381195 -0.2817045748233795
-1.163225531578064 -0.19909217953681946 -0.2763720452785492
-1.1662089824676514 -0.19955044984817505 -0.28064581751823425
-1.1701092720031738 -0.20047365128993988 -0.28037938475608826
-1.1739612817764282 -0.20294411480426788 -0.2838055491447449
-1.1696218252182007 -0.19758182764053345 -0.2795141637325287
-1.1710957288742065 -0.2031233012676239 -0.28319188952445984
-1.1684235334396362 -0.1974344402551651 -0.27968305349349976
-1.1675771474838257 -0.20523014664649963 -0.28344324231147766
-1.1654744148254395 -0.19997084140777588 -0.2801961600780487
-1.1642109155654907 -0.20845282077789307 -0.28419792652130127
-1.1630111932754517 -0.20491977035999298 -0.2807444930076599
-1.1661337614059448 -0.20759980380535126 -0.28359875082969666
-1.1648619174957275 -0.21032659709453583 -0.28489091992378235
-1.1666263341903687 -0.21528030931949615 -0.287339985370636
-1.1592683792114258 -0.21547146141529083 -0.2843650281429291
-1.1630277633666992 -0.21722576022148132 -0.28527525067329407
-1.15696382522583 -0.21531352400779724 -0.28318679332733154
-1.1580557823181152 -0.2186134159564972 -0.2862010598182678
-1.1604418754577637 -0.21939578652381897 -0.28804051876068115
-1.156962275505066 -0.2203395813703537 -0.2886958718299866
-1.1585012674331665 -0.22036553919315338 -0.29076993465423584
-1.1554087400436401 -0.2214640974998474 -0.2897583246231079
-1.1592901945114136 -0.21828657388687134 -0.29128310084342957
-1.1573755741119385 -0.2155042439699173 -0.2868836522102356
-1.159061312675476 -0.21614718437194824 -0.2885001301765442
-1.156506896018982 -0.21800801157951355 -0.2870771884918213
-1.157721757888794 -0.21965809166431427 -0.28812775015830994
-1.1523091793060303 -0.21992942690849304 -0.28778699040412903
-1.1541939973831177 -0.22244948148727417 -0.2929905951023102
-1.1500473022460938 -0.2179456353187561 -0.28829360008239746
-1.150308609008789 -0.22256672382354736 -0.29393044114112854
-1.147624135017395 -0.21913768351078033 -0.2891944646835327
-1.1472523212432861 -0.225396066904068 -0.29264429211616516
-1.143280029296875 -0.22141258418560028 -0.28808996081352234
-1.1473125219345093 -0.2237226366996765 -0.2914448380470276
-1.1454154253005981 -0.2198750525712967 -0.2878987789154053
-1.147516131401062 -0.22492468357086182 -0.2920438349246979
-1.1441841125488281 -0.22070938348770142 -0.28760960698127747
-1.1440789699554443 -0.22375231981277466 -0.290840744972229
-1.1398873329162598 -0.22019828855991364 -0.2853926718235016
-1.1400247812271118 -0.22333581745624542 -0.28910061717033386
-1.138316035270691 -0.21813368797302246 -0.2867151200771332
-1.1407585144042969 -0.22289340198040009 -0.29064038395881653
-1.1358039379119873 -0.2225845456123352 -0.28653326630592346
-1.1345553398132324 -0.22563858330249786 -0.28991734981536865
-1.136704444885254 -0.22599606215953827 -0.2897435128688812
-1.1320340633392334 -0.22523213922977448 -0.28755098581314087
-1.1334891319274902 -0.2246231734752655 -0.288023442029953
-1.1317131519317627 -0.2244453877210617 -0.2855544984340668
-1.1331506967544556 -0.22489574551582336 -0.28655871748924255
-1.134367823600769 -0.22993417084217072 -0.2891758680343628
-1.1374340057373047 -0.22999294102191925 -0.2903873324394226
-1.1342476606369019 -0.2315659523010254 -0.2891795337200165
-1.1327394247055054 -0.23148149251937866 -0.28964605927467346
-1.1299753189086914 -0.23328277468681335 -0.28900665044784546
-1.1312146186828613 -0.23288527131080627 -0.2898768484592438
-1.1285253763198853 -0.23446853458881378 -0.2885722517967224
-1.128514051437378 -0.23664353787899017 -0.2935902178287506
-1.1242847442626953 -0.23372219502925873 -0.28883862495422363
-1.1226725578308105 -0.23856227099895477 -0.2938176691532135
-1.1250730752944946 -0.24013188481330872 -0.2928268313407898
-1.1264809370040894 -0.2448677271604538 -0.29601818323135376
-1.1280030012130737 -0.24332201480865479 -0.2968253493309021
-1.1311323642730713 -0.2481139898300171 -0.3007882535457611
-1.1268393993377686 -0.2449953556060791 -0.2962127923965454
-1.1301350593566895 -0.24927248060703278 -0.3005392253398895
-1.1330746412277222 -0.24923260509967804 -0.3008524179458618
-1.1341122388839722 -0.2519721984863281 -0.30447039008140564
-1.1304396390914917 -0.245823472738266 -0.302275151014328
-1.133592128753662 -0.24981075525283813 -0.30587637424468994
-1.135596513748169 -0.25061699748039246 -0.305221289396286
-1.138944149017334 -0.25318974256515503 -0.3078876733779907
-1.139672040939331 -0.25486472249031067 -0.30613481998443604
-1.1404480934143066 -0.2580958604812622 -0.30991607904434204
-1.135751724243164 -0.2552580237388611 -0.3031153082847595
-1.1333444118499756 -0.26024237275123596 -0.30604287981987
-1.1343426704406738 -0.2602480947971344 -0.3053891658782959
-1.1373156309127808 -0.26218336820602417 -0.3060769736766815
-1.1333622932434082 -0.25699949264526367 -0.30177950859069824
-1.1326625347137451 -0.26074936985969543 -0.30333730578422546
-1.1326322555541992 -0.26153457164764404 -0.30381014943122864
-1.135770320892334 -0.2651751935482025 -0.30528053641319275
-1.1323108673095703 -0.25943878293037415 -0.303104043006897
-1.134115219116211 -0.26196038722991943 -0.3049803376197815
-1.1299936771392822 -0.25985047221183777 -0.30279576778411865
-1.1334714889526367 -0.2634589374065399 -0.30475306510925293
-1.1359494924545288 -0.2618609070777893 -0.3050585389137268
-1.1333177089691162 -0.2586857080459595 -0.3015984892845154
-1.1347283124923706 -0.25941094756126404 -0.3034280836582184
-1.1363815069198608 -0.2648296654224396 -0.30534228682518005
-1.1393871307373047 -0.2646818459033966 -0.3071287274360657
-1.1350034475326538 -0.2645632326602936 -0.305134654045105
-1.1373909711837769 -0.2631630003452301 -0.3068006634712219
-1.1327451467514038 -0.2590654194355011 -0.30132365226745605
-1.1357355117797852 -0.25894901156425476 -0.30370190739631653
-1.1303075551986694 -0.2572742998600006 -0.30301016569137573
-1.132895588874817 -0.2589845359325409 -0.30757802724838257
-1.1300747394561768 -0.2556907534599304 -0.3025616407394409
-1.13108229637146 -0.25613829493522644 -0.3030705451965332
-1.1278389692306519 -0.25233355164527893 -0.2981738746166229
-1.1274367570877075 -0.25578609108924866 -0.3027016222476959
-1.1251165866851807 -0.2532055079936981 -0.2978264093399048
-1.1287590265274048 -0.2526642084121704 -0.30156126618385315
-1.1316425800323486 -0.25324004888534546 -0.3012238144874573
-1.130684494972229 -0.2553715705871582 -0.3035849332809448
-1.130234718322754 -0.25144636631011963 -0.2998708486557007
-1.1325403451919556 -0.25666773319244385 -0.3037835359573364
-1.129066824913025 -0.25133955478668213 -0.29971808195114136
-1.130956768989563 -0.2563372850418091 -0.3029640316963196
-1.1263766288757324 -0.2519734799861908 -0.29711464047431946
-1.1284542083740234 -0.25138959288597107 -0.29762548208236694
-1.1246063709259033 -0.24590739607810974 -0.292496919631958
-1.1241389513015747 -0.24769127368927002 -0.29255110025405884
-1.119333028793335 -0.2426244467496872 -0.28659820556640625
-1.1160163879394531 -0.25055718421936035 -0.28866496682167053
-1.1165107488632202 -0.2499343454837799 -0.2879469394683838
-1.1134892702102661 -0.2571200728416443 -0.2897852957248688
-1.1065207719802856 -0.2556380033493042 -0.2848793864250183
-1.1056740283966064 -0.25915849208831787 -0.28485554456710815
-1.099882960319519 -0.25667452812194824 -0.2793633043766022
-1.099936842918396 -0.25673243403434753 -0.2765212953090668
-1.1012407541275024 -0.25481992959976196 -0.27398207783699036
-1.1011062860488892 -0.2531214952468872 -0.26867374777793884
-1.1024271249771118 -0.25246715545654297 -0.26570114493370056
-1.09840726852417 -0.24552001059055328 -0.25733888149261475
-1.0963078737258911 -0.24590420722961426 -0.2534513473510742
-1.093079686164856 -0.242121621966362 -0.24679937958717346
-1.0904330015182495 -0.24421373009681702 -0.24240712821483612
-1.0907796621322632 -0.24410979449748993 -0.23747552931308746
-1.0901974439620972 -0.2408294975757599 -0.22794094681739807
-1.0906574726104736 -0.24083514511585236 -0.2223062366247177
-1.0845718383789062 -0.24596168100833893 -0.21907013654708862
-1.0842550992965698 -0.2441212683916092 -0.2138967365026474
-1.076281189918518 -0.2467036098241806 -0.20962579548358917
-1.0724849700927734 -0.24153666198253632 -0.20121672749519348
-1.0649994611740112 -0.24144890904426575 -0.19485987722873688
-1.0610347986221313 -0.23509065806865692 -0.18577314913272858
-1.0586379766464233 -0.2292490005493164 -0.17620456218719482
-1.056584358215332 -0.2250431478023529 -0.16758297383785248
-1.051507830619812 -0.229948490858078 -0.1641014963388443
-1.048277735710144 -0.22540900111198425 -0.15624311566352844
-1.0426610708236694 -0.2277141958475113 -0.1494961678981781
-1.0430034399032593 -0.22637340426445007 -0.14108453691005707
-1.0364724397659302 -0.22644785046577454 -0.13384780287742615
-1.0391675233840942 -0.22562019526958466 -0.12741321325302124
-1.0362926721572876 -0.23397786915302277 -0.1277078539133072
-1.0368218421936035 -0.23404453694820404 -0.12024811655282974
-1.0307327508926392 -0.24102917313575745 -0.11244449019432068
-1.0358587503433228 -0.24192017316818237 -0.10627338290214539
-1.0337775945663452 -0.24127258360385895 -0.09831783175468445
-1.035617709159851 -0.23727305233478546 -0.09001954644918442
-1.0324316024780273 -0.23478984832763672 -0.09043902903795242
-1.0364941358566284 -0.2257559597492218 -0.07875111699104309
-1.0328683853149414 -0.23065437376499176 -0.07305868715047836
-1.0370652675628662 -0.23507457971572876 -0.060159631073474884
