Test Fly: hl_mc_fly_line, height at 1meter
Date:  2024-01-09
logging-rate: 10
-0.7827945351600647 -0.5841547250747681 -0.2603268623352051
-0.7830232977867126 -0.5914130806922913 -0.26345303654670715
-0.7873076796531677 -0.5872998833656311 -0.2631770670413971
-0.7873280644416809 -0.5945178866386414 -0.2659618854522705
-0.791142463684082 -0.5899818539619446 -0.26623085141181946
-0.7879188656806946 -0.5926031470298767 -0.2652689516544342
-0.7928666472434998 -0.5912467241287231 -0.2697316110134125
-0.7909772992134094 -0.5899750590324402 -0.26622459292411804
-0.7948424220085144 -0.5860520601272583 -0.26610925793647766
-0.7911331653594971 -0.5881960988044739 -0.2648800313472748
-0.7938697338104248 -0.586758553981781 -0.2645898163318634
-0.7885156273841858 -0.586374044418335 -0.2640528976917267
-0.7915332913398743 -0.5833037495613098 -0.2633918523788452
-0.7914697527885437 -0.5888527631759644 -0.2646612226963043
-0.7918136119842529 -0.5875477194786072 -0.2651255130767822
-0.7916682958602905 -0.5947126150131226 -0.26816296577453613
-0.7951623797416687 -0.5915564298629761 -0.2672714591026306
-0.7911710143089294 -0.5930911302566528 -0.2671312987804413
-0.7940832376480103 -0.5928717255592346 -0.2662994861602783
-0.7904563546180725 -0.5944803357124329 -0.2660273015499115
-0.7950360774993896 -0.5917003750801086 -0.2653298079967499
-0.790093719959259 -0.5919481515884399 -0.265706866979599
-0.7945558428764343 -0.5895878076553345 -0.26482462882995605
-0.7907940149307251 -0.5912577509880066 -0.26390141248703003
-0.7903864979743958 -0.592525839805603 -0.26675909757614136
-0.7910315990447998 -0.594397783279419 -0.2677540183067322
-0.7967022657394409 -0.5933071970939636 -0.2720412313938141
-0.7971982359886169 -0.5950857996940613 -0.27286550402641296
-0.8037508726119995 -0.5971107482910156 -0.2765366733074188
-0.8010407090187073 -0.5988535284996033 -0.2750101089477539
-0.8084187507629395 -0.5992950201034546 -0.2796778082847595
-0.8074759244918823 -0.598461925983429 -0.2782624661922455
-0.8123828768730164 -0.6013480424880981 -0.2828722894191742
-0.8129138350486755 -0.599227786064148 -0.2836802005767822
-0.8191092014312744 -0.5992878079414368 -0.28520792722702026
-0.8131651878356934 -0.5933099389076233 -0.2795775532722473
-0.818314254283905 -0.5972919464111328 -0.28347644209861755
-0.8124299645423889 -0.5916213989257812 -0.27764132618904114
-0.8084990978240967 -0.5926075577735901 -0.2765326499938965
-0.8146812915802002 -0.5857474207878113 -0.2787768542766571
