Format Version,1.23,Take Name,Take 2024-04-18 09.52.19 AM_075,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-18 10.02.20.699 AM,Capture Start Frame,4752070,Total Frames in Take,2728,Total Exported Frames,2728,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Drone_Marker:Label,Drone_Marker:Label,Drone_Marker:Label
,ID,"8A0F6C21FD5A11EEF196A13ACAB88A83","8A0F6C21FD5A11EEF196A13ACAB88A83","8A0F6C21FD5A11EEF196A13ACAB88A83"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,-0.228515,0.023137,-0.997109
1,0.010000,-0.228541,0.023088,-0.997187
2,0.020000,-0.228531,0.023067,-0.997184
3,0.030000,-0.228546,0.023130,-0.997131
4,0.040000,-0.228534,0.023099,-0.997178
5,0.050000,-0.228517,0.023132,-0.997134
6,0.060000,-0.228548,0.023045,-0.997236
7,0.070000,-0.228554,0.023036,-0.997219
8,0.080000,-0.228529,0.023088,-0.997161
9,0.090000,-0.228541,0.023068,-0.997191
10,0.100000,-0.228540,0.023081,-0.997177
11,0.110000,-0.228515,0.023143,-0.997094
12,0.120000,-0.228521,0.023146,-0.997108
13,0.130000,-0.228557,0.023085,-0.997198
14,0.140000,-0.228537,0.023089,-0.997176
15,0.150000,-0.228539,0.023084,-0.997163
16,0.160000,-0.228517,0.023119,-0.997143
17,0.170000,-0.228550,0.023055,-0.997190
18,0.180000,-0.228541,0.023087,-0.997161
19,0.190000,-0.228542,0.023026,-0.997254
20,0.200000,-0.228522,0.023126,-0.997128
21,0.210000,-0.228560,0.023005,-0.997269
22,0.220000,-0.228541,0.023045,-0.997215
23,0.230000,-0.228564,0.023025,-0.997245
24,0.240000,-0.228537,0.023100,-0.997159
25,0.250000,-0.228544,0.023131,-0.997118
26,0.260000,-0.228562,0.023035,-0.997222
27,0.270000,-0.228537,0.023088,-0.997177
28,0.280000,-0.228523,0.023106,-0.997190
29,0.290000,-0.228569,0.023047,-0.997220
30,0.300000,-0.228558,0.022997,-0.997284
31,0.310000,-0.228554,0.023085,-0.997184
32,0.320000,-0.228538,0.023072,-0.997191
33,0.330000,-0.228528,0.023141,-0.997137
34,0.340000,-0.228545,0.023067,-0.997202
35,0.350000,-0.228554,0.023030,-0.997261
36,0.360000,-0.228539,0.023088,-0.997186
