Format Version,1.23,Take Name,Take 2024-04-18 09.52.19 AM_015,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-18 09.58.08.915 AM,Capture Start Frame,4726891,Total Frames in Take,3203,Total Exported Frames,3203,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Drone_Marker:Label,Drone_Marker:Label,Drone_Marker:Label
,ID,"705F204CFD5A11EEF196A13ACAB88A83","705F204CFD5A11EEF196A13ACAB88A83","705F204CFD5A11EEF196A13ACAB88A83"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,-0.204953,0.023798,-1.044148
1,0.010000,-0.204962,0.023768,-1.044183
2,0.020000,-0.204957,0.023811,-1.044155
3,0.030000,-0.204935,0.023924,-1.044013
4,0.040000,-0.204953,0.023840,-1.044098
5,0.050000,-0.204966,0.023789,-1.044163
6,0.060000,-0.204971,0.023775,-1.044171
7,0.070000,-0.204930,0.023881,-1.044055
8,0.080000,-0.204945,0.023833,-1.044092
9,0.090000,-0.204963,0.023793,-1.044134
10,0.100000,-0.204972,0.023782,-1.044175
11,0.110000,-0.204953,0.023810,-1.044124
12,0.120000,-0.204908,0.023932,-1.044003
13,0.130000,-0.204939,0.023851,-1.044058
14,0.140000,-0.204953,0.023785,-1.044161
15,0.150000,-0.204968,0.023799,-1.044159
16,0.160000,-0.204945,0.023808,-1.044171
17,0.170000,-0.204959,0.023802,-1.044130
18,0.180000,-0.204974,0.023799,-1.044166
19,0.190000,-0.204966,0.023822,-1.044142
20,0.200000,-0.204961,0.023794,-1.044147
21,0.210000,-0.204952,0.023840,-1.044124
22,0.220000,-0.204946,0.023837,-1.044105
23,0.230000,-0.204964,0.023817,-1.044131
24,0.240000,-0.204925,0.023837,-1.044086
25,0.250000,-0.204948,0.023832,-1.044065
26,0.260000,-0.204943,0.023826,-1.044104
27,0.270000,-0.204957,0.023822,-1.044113
28,0.280000,-0.204938,0.023832,-1.044106
29,0.290000,-0.204952,0.023837,-1.044077
30,0.300000,-0.204934,0.023840,-1.044090
31,0.310000,-0.204961,0.023809,-1.044122
32,0.320000,-0.204949,0.023881,-1.044079
33,0.330000,-0.204939,0.023870,-1.044058
34,0.340000,-0.204939,0.023866,-1.044090
35,0.350000,-0.204950,0.023806,-1.044136
36,0.360000,-0.204950,0.023847,-1.044083
37,0.370000,-0.204977,0.023807,-1.044164
38,0.380000,-0.204939,0.023872,-1.044069
